No Decimal Found,
45.759891,7.548206
56.684647,38.701784
44.257792,7.56449
56.013324,82.906957
46.006051,6.802646
51.24521,83.489987
55.836867,41.862817
52.333241,6.412239
57.848327,52.373034
46.423751,8.41391
56.744539,37.828741
54.559927,-2.003616
56.282019,44.133682
45.771024,7.779041
55.401461,83.975764
55.727708,44.694834
51.78344,84.415549
46.007413,11.02733
62.806873,22.500825
55.607002,83.006108
57.038824,30.77
57.155122,42.290628
56.016295,82.93853
50.717522,15.768787
54.742701,-1.751795
54.660568,-2.203196
65.656211,34.745174
57.740169,36.593609
63.808167,23.384034
53.350118,84.353034
44.82687,5.48288
44.91062,5.50214
44.83002,5.49647
44.89022,5.5036
43.94022,7.5037
45.5177,6.54391
45.02625,5.86175
46.00107,6.63318
45.76328,6.49623
44.77472,6.96794
44.44437,6.84994
45.58455,6.94142
43.91515,6.60422
44.55902,6.82068
45.19806,5.91834
44.89126,6.56633
45.78996,6.51579
45.37011,6.58743
44.72468,6.63548
44.18752,7.07494
45.66492,6.76657
45.21043,5.96014
45.99578,6.24927
45.73031,6.2084
58.550107,50.113226
55.334288,82.203835
54.995297,62.385553
56.469148,42.950653
55.164321,40.305271
53.052431,-3.11968
55.823436,44.160788
46.718806,11.453496
44.397182,6.393026
47.594288,13.99098
57.412326,60.270114
59.990208,12.551305
62.65804,12.990335
69.70542,18.682037
63.722343,20.573895
12.3905,Nord-Tr├╕ndelag
54.90168,39.362316
44.757675,5.928175
47.24,12.44
47.01,12.77
47.05,12.87
47.05,12.88
47.05,12.87
47.02,12.79
47.05,12.87
47.12,12.44
46.94,13.25
47.02,12.8
47.01,12.79
47.06,12.78
47.05,12.87
47.05,12.86
47.02,12.8
12.97,
12.85,300
47.02,12.8
47.05,12.88
47.01,12.79
47.05,12.88
47.05,12.86
47.05,12.86
46.96,12.8
46.96,12.21
46.91,12.86
47.03,12.78
47.06,12.78
47.01,12.77
47.05,12.86
47.01,12.77
46.97,12.8
13.12,100
47.03,12.8
47.05,12.88
47.02,12.8
47.06,12.88
47.05,12.88
47.02,12.77
47.02,12.8
47.02,12.8
13.12,
47.02,12.79
47.05,12.87
47.05,12.87
47.04,12.87
47.01,12.77
47.05,12.87
47.06,12.81
46.94,12.53
47.05,12.87
47.05,12.88
47.03,12.8
47.05,12.87
47.01,12.77
47.05,12.86
47.05,12.85
47.04,12.5
46.99,13.25
47.05,12.79
47.02,12.8
47.02,12.79
47.02,12.8
47.01,12.77
47.05,12.86
46.97,12.81
47.04,12.87
47.01,12.79
47.06,12.88
47.02,12.78
47.03,12.8
47.05,12.89
47.05,12.88
46.96,13.24
47.02,12.8
47.01,12.79
47.01,12.77
47.02,12.79
47.05,12.87
47.06,12.78
12.97,
46.97,12.8
47.13,12.42
12.96,300
44.69406,7.00906
44.78624,6.95234
44.69406,7.00906
44.75,6.69682
44.78624,6.95234
44.69406,7.00906
44.69406,7.00906
44.75414,6.57061
44.73902,7.01226
44.73902,7.01226
44.78624,6.95234
44.69406,7.00906
44.79284,6.76293
44.69406,7.00906
44.69406,7.00906
44.73902,7.01226
44.78624,6.95234
44.74129,6.94918
44.69406,7.00906
44.75616,6.50749
44.74129,6.94918
44.78624,6.95234
44.65795,6.75391
44.73902,7.01226
44.65795,6.75391
44.74129,6.94918
56.79919,13.08287
58.67834,16.76526
64.83572,15.16614
63.87822,20.65811
